愛宕洋榎,咲-Saki- 全国編
ユナエル(画像右),魔法少女育成計画
黎沈雲,学戦都市アスタリスク
笹島迅子,ナナマルサンバツ
ベルモット(女),クロックワーク・プラネット
ブリ…,紅殻のパンドラ
シャドウガッツ(画像右),怪獣娘〜ウルトラ怪獣擬人化計画〜
ねね,刀使ノ巫女
キット・ロペス,ベイブレードバースト
