諸葛亮孔明,ジャイアントロボ
ウメ星国王（左）,ウメ星デンカ 宇宙の果てからパンパロパン!
陣内万作,サマーウォーズ
細川（一番左）,おおかみこどもの雨と雪
"",""
"",""
