堤なぎさ※画像右,アイカツ!
直樹美紀,がっこうぐらし!
カオン・ランチェスター,コメット・ルシファー
一ノ瀬双葉,それが声優!
ミニファルル,プリパラ
コバヤシ,乱歩奇譚 Game of Laplace
コードΩ00ユーフィリア,アンジュ・ヴィエルジュ
六堂鈴,競女!!!!!!!!
めぐみん,この素晴らしい世界に祝福を!
ノクト・リーフレット,最弱無敗の神装機竜
朝日奈みらい/キュアミラクル,魔法つかいプリキュア!
エミリア,Re:ゼロから始める異世界生活
万世架まとめ,AKIBA'STRIP
エルネスティ・エチェバルリア(エル),ナイツ&マジック
小幡唯,アニメガタリズ
高木さん,からかい上手の高木さん
雨野狭霧,ゆらぎ荘の幽奈さん
勝木翼,こみっくがーるず
ゼナ・マリエンテール,デスマーチからはじまる異世界狂想曲
斉藤恵那,ゆるキャン△
七橋御乃梨,OneRoom
ミミ,ハクメイとミコチ
神門杏奈,イナズマイレブンアレスの天秤
坂野上昇,イナズマイレブンアレスの天秤
