茨夕,龍ヶ嬢七々々の埋蔵金
堀裕子,アイドルマスターシンデレラガールズ
東本願早苗,六畳間の侵略者!?
ミリンダ=ブランティーニ,ヘヴィーオブジェクト
エリザベス・グリーンハウ=スミス,DimensionW
倉本千夏,ふらいんぐうぃっち
小日向光,あまんちゅ!
メィリィ,Re:ゼロから始める異世界生活
苑生百花,ガーリッシュナンバー
ソレイユ,ファイアーエムブレムif
デューテ,ファイアーエムブレムEchoes
エマ,ファイアーエムブレムEchoes
リアーネ,ファイアーエムブレムヒーローズ
児玉えみる,キラキラ☆プリキュアアラモード
ヒヨ,プロジェクト東京ドールズ
夏目かこ,マギアレコード
宮崎千紗希,ゆらぎ荘の幽奈さん
古波蔵エレン,刀使ノ巫女
"",""
