ダサイネン,イタダキマン
刀々斎,犬夜叉
ノタニー博士,ウルトラマン超闘士激伝
ギックリ,風の谷のナウシカ
コスイネン,逆転イッパツマン
伴宙太,巨人の星
一反木綿,ゲゲゲの鬼太郎(第3･5作)
車弁慶,ゲッターロボG
ブライ大帝,ゲッターロボG
ギルモア博士（アイザック・ギルモア）,サイボーグ009(1968年版)
トボッケー,ゼンダマン＊1
ヒエール,タイムボカン2000 怪盗きらめきマン
ワンダユウ,チンプイ
カラテンモン,デジモンクロスウォーズ
シェンウーモン,デジモンテイマーズ
ヒーロー協会会長/超ウルトラ必殺スペシャルマン,とっても!ラッキーマン
ブリーフ博士,ドラゴンボール
北の界王,ドラゴンボールZ
バビディ,ドラゴンボールZ
スーパーゼウス,ビックリマンシリーズ
鬼輪伴宙太,魔神英雄伝ワタル2
ココロのボス,もーれつア太郎(1969年版/1990年版)
モリゾー,モリゾーとキッコロ＊2
ボヤッキー,ヤッターマン(1977年版/2008年版)
ガン・フォール,ONE PIECE
