春日未来,アイドルマスターミリオンライブ!
高岡ひろ（右）,ゆるゆり
水蓮寺ルカ,ハヤテのごとく!
長谷栞奈,さくら荘のペットな彼女
パリヌリ,翠星のガルガンティア
天城みずは,ビビッドレッド・オペレーション
わグルま!,ネーヴェリエル
日向夏,ハイキュー!!
神崎灯代,異能バトルは日常系のなかで
リーリス・ブリストル,アブソリュート・デュオ
北都美月,東亰ザナドゥ
メロウヌ・ローレライ,モンスター娘のいる日常
九頭龍菜摘,ダンガンロンパ3
カティ・ライコネン,AKIBA'STRIP2
フウカ・ウノ,機動戦士ガンダム鉄血のオルフェンズ
雫芽さりな,魔法少女サイト
