海火子,魔神英雄伝ワタル2
阿南スガオ,少年アシベ2
ヤンチャー,伝説の勇者ダ・ガーン
池田三郎次（初代）,忍たま乱太郎
峯崎拳一,熱血最強ゴウザウラー
ティーゲル,セイバーマリオネットJ
次郎,コジコジ
マーラー,ああっ女神さまっ
イルミ=ゾルディック,HUNTER×HUNTER（1999年版）
マリア・タチバナ,サクラ大戦
インセクター羽蛾,遊☆戯☆王デュエルモンスターズ
火渡カイ,ベイブレード
田代香織,ガンパレード・マーチ
ゼオン・ベル,金色のガッシュベル!!
蔵木コドウ,爆球HIT!クラッシュビーダマン
サソリーナ,ハートキャッチプリキュア
ベラルーシ,Axis powers ヘタリア
ギップル,魔法陣グルグル
マチスのライチュウ,ポケットモンスター
シマ子さん,アニマル横町
鷹羽リョウ,爆走兄弟レッツ&ゴー!!
ゴミラ,それいけ!アンパンマン
キャンサー・カフカ,∀ガンダム（右側）
不細工です代,とっても!ラッキーマン
大神田グロリア,プリパラ
"",""
"",""
