アルファ,イナズマイレブンGO
キタン,天元突破グレンラガン
グレン=バスカヴィル/オズワルド=バスカヴィル,PandoraHearts
賢木修二,絶対可憐チルドレン
ステイル=マグヌス,とある魔術の禁書目録
清継,ぬらりひょんの孫
花井梓,おおきく振りかぶって
早坂秋水,武装錬金
氷室辰也,黒子のバスケ
ジャン・キルシュタイン,進撃の巨人
ロゥロゥ,マギ
蒼夜薫,カッコカワイイ宣言!
ダイスマン,ファイ・ブレイン
沢村正治,美鳥の日々
左天,NEEDLESS
花園カヲル,のうりん
ユダ,北斗の拳イチゴ味
中原中也,文豪ストレイドッグス
ゲルマンさん,ヘタリア
紫藤浩一,学園黙示録
アルベール,金色のガッシュ!!
エウリノーム,よんでますよ、アザゼルさん。
噴上裕也,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
シャーニッド・エリプトン,鋼殻のレギオス
大和武,OverDrive
志摩金造,青の祓魔師(京都不浄王編)
