アルバトロ・ミル・ジュリア・アスカ,蒼き流星SPTレイズナー
一松,おそ松くん
松野松代,おそ松くん
レアリー・エドベリ,機動戦士ガンダムF91
ナスターシャ・ザビコフ,機動武闘伝Gガンダム
ミュージィ・ポー,聖戦士ダンバイン
エルチ・カーゴ,戦闘メカ ザブングル
オロカブ,タイムボカンシリーズ＊1
スネ夫のママ(2代目),ドラえもん(テレビ朝日版)
メガエラ,ファイブスター物語
味吉法子,ミスター味っ子
