クレオ,宇宙魔神ダイケンゴー
立花ララベル,魔法少女ララベル
オボッチャマン,Dr.スランプ アラレちゃん
ウパ,ドラゴンボール
三田村八重子,愛してナイト
ファンドラ,夢次元ハンターファンドラ
ポリアンナ・フィティア,愛少女ポリアンナ物語
コッキー,小公子セディ
アッコ,ひみつのアッコちゃん(88年版)
ポラリスのヒルダ,聖闘士星矢
ジュディ・アボット,私のあしながおじさん
座剣邪寧代,まじかる☆タルるートくん
ジェニー・マクダウェル,風の中の少女 金髪のジェニー
レミ・バルブラン,家なき子レミ
セーラーギャラクシア,美少女戦士セーラームーン
堀江罪子,覚悟のススメ
ホリ・ススム,ミスタードリラーシリーズ
アンナ・ホッテンマイヤー,ミスタードリラーシリーズ
プチ,ミスタードリラーシリーズ
ミエ子 / ビジンダー,キカイダー01 THE ANIMATION
若葉,プロゴルファー猿
シビップ,宇宙船サジタリウス
