三浦絃之介,俺の妹がこんなに可愛いわけがない
キース・グッドマン/スカイハイ,TIGER&BUNNY
翡葉京一,結界師
王子誠,Another
土田聡史,黒子のバスケ
水戸部凛之助,黒子のバスケ
スペイン,Axis Powers ヘタリア
ブルガリア,Axis Powers ヘタリア
アイオリア,聖闘士星矢 Legend of Sanctuary
小野篁,鬼灯の冷徹
ステイン,僕のヒーローアカデミア
クグラ,アラタカンガタリ
アスラン・フリングス,テイルズオブジアビス
カイザル・リドファルド,神撃のバハムートGENESIS
うちはマダラ(少年期)※イラスト左側,NARUTO
