大井藍,電波女と青春男
橘彩花,最近、妹のようすがちょっとおかしいんだが
皆野まとめ,マンガ家さんとアシスタントさんと
アリス・カータレット,きんいろモザイク
ジャネット・カニンガム,編隊少女
スフラマール,グランブルーファンタジー
