貴鬼,聖闘士星矢(OVA)
郡山知姫,ときめきメモリアル4
ミンタイ,アラド戦記
空猫,アルトネリコ2
竹中半兵衛,戦国無双シリーズ
綾御前,戦国無双シリーズ
こより,バトルファンタジア
ポヨモン,デジモンクロスウォーズ
クリス(ゲーム版),リルぷりっ
バット,真・北斗無双
アイリ,真・北斗無双
ホーマー・ピエローニ(右側),戦場のヴァルキュリア
レイラ・ピエローニ,戦場のヴァルキュリア3
尸刻,第3次スーパーロボット大戦Z 天獄篇
シプリン&プチロル,美少女戦士セーラームーンcrystal
花嵐エリ,デジモンユニバースアプリモンスターズ
国近柚宇,ワールドトリガー
熊谷友子,ワールドトリガー
イワ姫,鬼灯の冷徹
ねこ娘,ゲゲゲの鬼太郎(6期)
ジョゼット・カプア,空の軌跡シリーズ
サギリ・サクライ,スーパーロボット大戦T
"",""
"",""
