可憐,シスタープリンセス
工藤卑弥呼,GetBackers-奪還屋-
紫和泉子,D.C.
アリスティア・アグリュー,LASTEXILEシリーズ
アルフ,魔法少女リリカルなのはシリーズ
ルーテシア・アルピーノ,魔法少女リリカルなのはStrikerS
セッテ,魔法少女リリカルなのはStrikerS
翠星石,ローゼンメイデン
綾瀬夕映,魔法先生ネギま!
朝倉涼子,涼宮ハルヒの憂鬱シリーズ
南都夜々,ストロベリー・パニック
氷室風,スケッチブックFULLcolor's
士夏彦八重,夜桜四重奏
蒲原智美,咲-Saki-
かすが、夢吉、おやっさん,戦国BASARAシリーズ
美神愛,未来日記
F・ウオルシンガム,境界線上のホライゾン
上原小夜子,ペルソナ4
浦島可奈子,ラブひな
古戸ヱリカ,うみねこのなく頃に散
がすとちゃん,超次元ゲイムネプテューヌ
ミカヤ,ファイアーエムブレム暁の女神
マリーセレス,武装神姫
ドロシー・ミストラル,無限のフロンティア
エクレール,ラ・ピュセル
桑原先生,ひだまりスケッチ(第3期～)
