調辺アコ/キュアミューズ,スイートプリキュア♪
吉川ちなつ,ゆるゆり
御庭つみき,あっちこっち(アニメ版)
梵天丸,織田信奈の野望
小悪魔王・織田信長,戦国コレクション
上葉みあ（画像右）,プリティーリズム・ディアマイフューチャー
ピスティ,マギ
火鉢,ムシブギョー
野々原ゆずこ,ゆゆ式
一宮塔子,サーバント×サービス
アリン,フェアリーフェンサーエフ
神月・フェラーリ,ガリレイドンナ
木下スグリ,はっぴ～カッピ
アン・ハルフォード,シュガーアップル・フェアリーテイル
左反衣,ウィザード・バリスターズ
山岸沙希,一週間フレンズ。
片桐弓月,ブラック・ブレット
春日野うらら,さばげぶっ!
相良あづみ,ミカグラ学園組曲
香川いろは,プリパラ
新井珠子,ばらかもん
モリ,直球表題ロボットアニメ
モニカ,ヘヴィーオブジェクト
西條雛子,ろんぐらいだぁす!
西園寺うさぎ,対魔導学園35試験小隊
エマ・グレーン,ジョーカー・ゲーム
亜玖璃,ゲーマーズ!
華園みあ,アイドルタイムプリパラ
にじふわっち,たまごっち
"",""
