シャークマン,ロックマンエグゼ
ハマーD,爆走兄弟レッツ&ゴー
林田慎二郎,魁!!クロマティ高校
カッツォ,HUNTER×HUNTER(2011年版)
ブルーハカイダー,キカイダー01(アニメ版)
ジーク,ZOIDS
シャドー,ZOIDS
スペキュラー,ZOIDS
ベーダモン,デジモンアドベンチャー
コルベール先生,ゼロの使い魔
こおりおに,それいけ!アンパンマン
宋帝王,鬼灯の冷徹
