杉田広美,僕だけがいない街
藍華真希,六畳間の侵略者!?
メアリー,クロスアンジュ天使と竜の輪舞
カレン,タイムボカン24
アリヤバータ,タブー・タトゥー
堀北鈴音,ようこそ実力至上主義の教室へ
日向夏帆,ブレンド・S
中村美沙,ラーメン大好き小泉さん
飯島香菜,徒然チルドレン
シルーカ・メレテス,グランクレスト戦記
セイウンスカイ,ウマ娘プリティーダービー
はっす,SSSS.GRIDMAN
竈門禰豆子,鬼滅の刃
新海リンナ,アイカツフレンズ!
姫坂乃愛,私に天使が舞い降りた!
