刃柴竜,勇者指令ダグオン
メタナイト,星のカービィ
ラスティ・マッケンジー,機動戦士ガンダムSEED(スペシャルエディション)
陰守マモル,陰からマモル!
浜田良郎,おおきく振りかぶって
ルキアーノ・ブラッドリー,コードギアス
相沢祐一(画像右),Kanon(2002年版)
櫻野秀一,学園アリス
フィル・フリッツ,新世紀GPXサイバーフォーミュラ
錫高野与四郎,忍たま乱太郎
重(2代目),忍たま乱太郎
ミュー,聖闘士星矢(OVA)
ウーブ,ドラゴンボールGT
本城狂死郎(画像右),銀魂
キュレーネ(画像右),聖闘士星矢Ω
風間美利（風のビリー）,爆球連発!!スーパービーダマン
