ウィード,銀牙伝説WEED
スライ,遊戯王5D's
トロン,遊戯王ZEXAL
白銀スバル,クロスファイトビーダマン
武田シンゲン,戦国乙女～桃色パラドックス～
フラン,家庭教師ヒットマンREBORN!
アリーア・フォン・レイジ・アスナ,ガンダムビルドファイターズ
アジー・グルミン,機動戦士ガンダム鉄血のオルフェンズ
ジェシカ,LINE OFFLINE サラリーマン/LINETOWN
イルゼ・ラングナー,進撃の巨人 イルゼの手帳
鈴木将,モブサイコ100
チビ太,おそ松さん
アーサー・ペンドラゴン,七つの大罪
神谷勇人,カミワザ・ワンダ
爆豪勝己(幼少期),僕のヒーローアカデミア
バーネット博士,ポケットモンスターサン&ムーン
"",""
"",""
