水乃小路飛鳥,うる星やつら
ナウシカ,風の谷のナウシカ
沖田ミツバ,銀魂
星川ムツミ,ザ☆ウルトラマン
エルフィ,サンゴ礁伝説 青い海のエルフィ
銀鈴,ジャイアントロボ THE ANIMATION -地球が静止する日
セーラ・クルー,小公女セーラ
ルウリィ,スプーンおばさん
ロイヤルクイーン,スマイルプリキュア!
しょくぱんまん,それいけ!アンパンマン
鉄火のマキちゃん,それいけ!アンパンマン（劇場版）＊1
調和神ヴィシュヌ,天空戦記シュラト
草壁靖子,となりのトトロ
ロミナ・ラドリオ,忍者戦士飛影
ホルン,ハーメルンのバイオリン弾き
エリス,ファイアーエムブレム 紋章の謎
涼子,炎トリッパー
馬頭,鬼灯の冷徹＊2
工藤有希子,名探偵コナン
音無響子,めぞん一刻
イシズ・イシュタール,遊☆戯☆王デュエルモンスターズ
泉かなた,らき☆すた
小山田真希,ルパン三世（第2シリーズ）＊3
クラリス・ド・カリオストロ,ルパン三世 カリオストロの城
関原妙,るろうに剣心 -明治剣客浪漫譚-
