沢田奈々,家庭教師ヒットマンREBORN!
ヘレン・ジャクソン,機動戦士Vガンダム
武田桂,元気爆発ガンバルガー
結城秋絵,元気爆発ガンバルガー＊1
かぐや,剣勇伝説YAIBA
蓮苞,ジャングルの王者ターちゃん＊2
エンヤ,ジョジョの奇妙な冒険（OVA版）
スカアハ,真・女神転生デビルチルドレン ライト&ダーク
愛野美奈子/セーラーヴィーナス,美少女戦士セーラームーン
レギーネ/小山翔子,ふたりはプリキュア
ミュン・ファン・ローン,マクロスプラス
マジョプリマ,も～っと!おジャ魔女どれみ
光の創造神ホルアクティ,遊☆戯☆王デュエルモンスターズ
