右代宮金蔵,うみねこのなく頃に
キラル・メキレル,機動武闘伝Gガンダム
キール・ローレンツ,新世紀エヴァンゲリオン
杉田淳三郎（右側）,ストライクウィッチーズ
愚地独歩,グラップラー刃牙
タマゴ男爵,ONEPIECE
四葉一郎,ドキドキ!プリキュア
グロッサー,コレクターユイ
徳川彦左衛門,宇宙戦艦ヤマト2199
蒔苗東護ノ介,機動戦士ガンダム鉄血のオルフェンズ
ウォンバット,美男高校地球防衛部LOVE!
ロム爺,Re:ゼロから始める異世界生活
初瀬いの,ノーゲーム・ノーライフ
