天津忠尋（右側）,朝霧の巫女
佐々倉溜,バーテンダー
満潮永澄,瀬戸の花嫁
ロミオ,ロミオ×ジュリエット
瓜生新吾（右側）,ましろ色シンフォニー
八重樫太一,ココロコネクト
ロロ・ランペルージ,コードギアス反逆のルルーシュR2
高上昇（左側）,我が家のお稲荷さま。
基山ヒロト/基山タツヤ,イナズマイレブン（旧作/アレスの天秤）
ヒュー,SHIN-MEN
椿大介,GIANTKILLING
内田文明,世紀末オカルト学院
古市貴之,べるぜバブ
理比理人,武装神姫
美童キリヤ,カードファイト!!ヴァンガード
向島拓朗,波打際のむろみさん
古城タケル,ダンボール戦機ウォーズ
童辺あゆむ,妖狐×僕SS
久藤准,さよなら絶望先生
芳賀,さよなら絶望先生
北欧,さよなら絶望先生
スマートっち,たまごっち! ～みらくるフレンズ～
音山光太（左側）,宇宙のステルヴィア
高松,AngelBeats!
竹林孝太郎,暗殺教室
大川進英,銀の匙 Silver Spoon
高城丈士朗,Charlotte(アニメ)
蓬(画像左),鬼灯の冷徹
