デンカ,ウメ星デンカ
マコ,魔法のマコちゃん
白鳥のジュン,科学忍者隊ガッチャマン
花月舞,マグネロボガ・キーン
ハイジ,アルプスの少女ハイジ
藤枝蘭丸,はいからさんが通る
003/フランソワーズ・アルヌール,サイボーグ009(1979年版)
テン,うる星やつら
木緑あかね,Dr.スランプアラレちゃん
ガンモ,GU-GUガンモ
コロ助(2代目),キテレツ大百科
キクコ,ポケットモンスター アドバンスジェネレーション
セレビィ,劇場版ポケットモンスター セレビィ 時を超えた遭遇
モンガー,21エモン(映画)
ハゲ田ハゲ丸(2代目),つるピカハゲ丸くん
伊知川累,まじかる☆タルるートくん
デスパライア,Yes!プリキュア5
まこと,まことちゃん(映画)
ベベル,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス
坂東いすず,映画 ドキドキ!プリキュア マナ結婚!!?未来につなぐ希望のドレス
バイオレット大佐,ドラゴンボール
蘭堂レイカ,魔境伝説アクロバンチ
暗闇三太,暗闇三太
ダンテ,鋼の錬金術師
ナイーダ,UFOロボグレンダイザー
