伊佐未勇,ブレンパワード
相葉昴治,無限のリヴァイアス
サイ・アーガイル,機動戦士ガンダムSEED
無常矜侍,スクライド
ロイド・アスプルンド,コードギアス 反逆のルルーシュ
グラトニー,鋼の錬金術師FULL　METAL　ALCHEMIST
亀梨,銀魂
フェリペ・セグンド,境界線上のホライゾン
レオナルド・シルバ,エリアの騎士
アンドレイ・スミルノフ,機動戦士ガンダムOO
ザンクロウ,FAIRYTAIL
"",""
