虹野ゆめ,アイカツスターズ!
オタ子,おしえて!ギャル子ちゃん
天真=ガヴリール=ホワイト,ガヴリールドロップアウト
夏川くいな,ひなこのーと
リコ,メイドインアビス
鬼怒川日向,温泉むすめ
緒方理珠,ぼくたちは勉強ができない
ソフィー・トワイライト,となりの吸血鬼さん
真城葵,京都寺町三条のホームズ
