不動明,デビルマン
ロッキー・アンドル,太陽の牙ダグラム
先生（4代目）,ドラえもん（テレビ朝日版第1期）
ウォーズマン（初代）,キン肉マン
ジェシー・メイビア,キン肉マン
黒虎,銀牙 -流れ星 銀-
白狼,v銀牙 -流れ星 銀-
蟹座のデスマスク,聖闘士星矢
光子破壊員ブレインストーム,トランスフォーマー ザ☆ヘッドマスターズ
補給兵オクトーン,トランスフォーマー ザ☆ヘッドマスターズ
夕焼けまん,それいけ!アンパンマン
ナッシュ,ストリートファイターII V
ワニ師,ワールド・デストラクション ～世界撲滅の六人～
ムーリ長老,ドラゴンボール改
老界王神,ドラゴンボールシリーズ※1
ミスターカーメン,キン肉マン
仮面ライダーV3,仮面ライダーSD
