風丸一郎太,イナズマイレブンシリーズ
洞面秀一郎,イナズマイレブン
寺川巌,イナズマイレブン
ホリー・サマーズ,イナズマイレブン
マルコ・マセラッティ,イナズマイレブン
喜峰岬,イナズマイレブンGO
木屋功治,イナズマイレブンGO
笹山滝,イナズマイレブンGO
ユウ,ギルティクラウン
ネフェル・ナギーブ,機動戦士ガンダム00 -A wakening of the Trailblazer-
アーミア・リー,機動戦士ガンダム00 -A wakening of the Trailblazer-
エルメス・ジェラルディーニ、ケット・ウィスカー、シー・ウィスカー,カオスコード
刹那・F・セイエイ（幼少期）,機動戦士ガンダム00
黄緑クオン,ベイブレードバースト
オータム,インフィニット・ストラトス
