ロード・ジブリール,機動戦士ガンダムSEED DESTINY
キョウジ・カッシュ,機動武闘伝Gガンダム
シュバルツ・ブルーダー,機動武闘伝Gガンダム
ウォーズマン(二代目),キン肉マン
ペンギン帝王,健全ロボダイミダラー
沢村一気,剛Q超児イッキマン
剣桃太郎,魁!!男塾
フェニックス一輝,聖闘士星矢
日野道生,蒼穹のファフナー
ヒュンケル,ダイの大冒険
ドルビックモン,デジモンクロスウォーズ 悪のデスジェネラルと七つの王国
ギニュー,ドラゴンボールZ
クロームドーム,トランスフォーマーザ☆ヘッドマスターズ
リュウガ,北斗の拳
新出智明,名探偵コナン
ヴィンスモーク・ジャッジ,ONE PIECE
バーソロミュー・くま,ONE PIECE
