片山実波,"Wake Up,Girls!"
ハナ・N・フォンテーンスタンド,ハナヤマタ
岡野ひなた,暗殺教室
真中のん,プリパラ
トライアングル,プリパラ
だいや,魔法少女なんてもういいですから。
カティア・ヴァルトハイム,シュヴァルツェスマーケン
上矢あがり,灼熱の卓球娘
日置順子,ハイスクール・フリート
早乙女芽亜里,賭ケグルイ
星川リリィ,ゾンビランドサガ
"",""
