マリン,海底少年マリン
ラブラブ,冒険コロボックル
ペーター,アルプスの少女ハイジ
コナン,未来少年コナン
野比のび太(初代),ドラえもん(テレビ朝日版)
野比玉子,ドラえもん(日テレ版)
おユキ,うる星やつら
セルジュ・バトゥール,風と木の詩
リューズ,銀河鉄道999(劇場版)
剛日吉,超電磁マシーンボルテスV
リー・カザリーン,超電磁マシーンボルテスV
氷の女王（劇場版第1作をのぞく）,それいけ!アンパンマン
黒バラ女王,それいけ!アンパンマン
"",""
"",""
