グリグリ警部,キョロちゃん
ジーン,機動戦士ガンダム(特別版)
ジョーカー,デルトラクエスト
長門,NARUTO
ハイドム・ギムレー,宇宙戦艦ヤマト2199
組長先生/高倉文太(2代目),クレヨンしんちゃん※1
ブエル,紅殻のパンドラ
ジョージ・クライ/プレジデント・クライ,HUGっと!プリキュア
"",""
