田中龍之介,ハイキュー!!
荻原シゲヒロ,黒子のバスケ
遠野浩司,チア男子!!
立原道造,文豪ストレイドッグス
寸断殺人,ビッグオーダー
枝野剛,モブサイコ100
カイル・ブロフロフスキー,サウスパーク（FOX版）
"",""
"",""
