ミンス,暁のヨナ
望月優矢,Another
キオ・アスノ,機動戦士ガンダムAGE
山本君※左側,繰繰れ!コックリさん
波戸賢二郎〈男〉,げんしけん 二代目
伊吹,少年メイド
中目黒善樹,生徒会の一存
ポメラニアン（ローエン）※右側,Dance with Devils
キレドリ,D.Gray-man HALLOW
中之条剛,日常
レオナルド・ストーラ,棺姫のチャイカ
箱根有基,美男高校地球防衛部LOVE!
黒岳テツヤ,フューチャーカード バディファイト
ミミック吉田,ブラッドラッド
山吹アキラ,ベイブレードバースト
アモン※左側,魔界王子 devils and realist
千葉和実※左側,みつどもえ
千葉雄大,みつどもえ
ライフ・ビューティー,ユリ熊嵐
