ガードスター,太陽の勇者ファイバード
ゴッドシルバリオン,黄金勇者ゴルドラン
バルガス・ダイソン,機動戦士ガンダムAGE
じんめん犬,妖怪ウォッチ
グレるりん,妖怪ウォッチ
わすれん帽,妖怪ウォッチ
ロボニャン,妖怪ウォッチ
ゼブル,真・女神転生デビルチルドレン
タコ,無人惑星サヴァイヴ
ダークマン,ロックマンエグゼ
