ミッケン,キョロちゃん
宮ノ下敬一郎,学校の怪談
ハム太郎,とっとこハム太郎
パピィ,ミルモでポン!
ブル・ボーグナイン,B-伝説! バトルビーダマン
ヌイイ,ケロロ軍曹
ポッチャマ,ポケモン不思議のダンジョン 時の探検隊・闇の探検隊
ゾロア,劇場版ポケットモンスター ダイヤモンド&パール 幻影の覇者 ゾロアーク
ウサコッツ,天体戦士サンレッド
一斤さん,人類は衰退しました
カーバンクル,ぷよぷよ～ん
畠山玉江,はれときどきぶた
レオ,ONEPIECE
ファヴ,魔法少女育成計画
くぬどん,暗殺教室
うーたん,いないいないばあっ!
