風沢そら,アイカツ!
緑子,selector_infected_WIXOSS
セガサターン,Hi☆sCoool!セハガール
田所恵,食戟のソーマ
離宮ルミナ,ミカグラ学園組曲
未弐見にみ,ヴァルキリードライヴ マーメイド
お嬢,おしえて!ギャル子ちゃん
テレシア・ヴァン・アストレア,Re:ゼロから始める異世界生活
ケツァルコアトル,小林さんちのメイドラゴン
ティオネ・ヒリュテ,ダンジョンに出会いを求めるのは間違っているだろうか
山田エルフ,エロマンガ先生
青葉ゆかり,リルリルフェアリル
川流美優希,ツインエンジェルBREAK
ロボッピ,遊戯王VRAINS
山田結衣,あさがおと加瀬さん。
黒歌,ハイスクールD×D
リムロ,幻影ヲ駆ケル太陽
ココナ(フリップフラッパーズ),フリップフラッパーズ
シルバーブルーメ,怪獣娘(黒)〜ウルトラ怪獣擬人化計画〜
星ノ川はるか,ひらけ!ここたま
エルコンドルパサー,ウマ娘プリティーダービー
