島津朔邪,ISUCA-イスカ-
神野めぐみ,エロマンガ先生
植野真由（右側）,大家さんは思春期!※
姫小路秋子,お兄ちゃんだけど愛さえあれば関係ないよねっ
リア・ハグリィ,俺の妹がこんなに可愛いわけがない。
菜波・K・ブレードフィールド,彼女がフラグをおられたら
安藤夏希,帰宅部活動記録
四ノ宮霞,GJ部
真境名そり子,健全ロボダイミダラー(イラスト右のキャラ)
岡千波,ゴールデンタイム
ハンドレッコ,SHOWBYROCK!!
真賀田四季,すべてがFになる THE PERFECT INSIDER
東北イタコ,ずんだホライずん
クレア・ルージュ,精霊使いの剣舞
漆葉リンカ,東京ESP
野呂誠,TRICKSTER～江戸川乱歩「少年探偵団」
詩音ひなみ,ナゾトキ姫は名探偵
ツェペッシュ・ネル,ノブナガ・ザ・フール
中野千雨,ばくおん!!
谷みなみ,パンでPeace!
長谷川夢,pupa
天海響,レーカン!
"",pixivimage::s]
"",pixivimage::s]
