岩沢彩生,あいうら
目野輪冥,ウィッチクラフトワークス
ふたせ文緒(過去のシーンの時),selector spread WIXOSS
しみちゃん(2代目)※メイン画像右の人物。,新あたしンち ※1
アズミ,ガールズ&パンツァー劇場版
オカ子,おしえて!ギャル子ちゃん
黒曜イズナ（幼少期）,ガイストクラッシャー
"",""
"",""
