黄泉,幽遊白書
土屋博士,爆走兄弟レッツ&ゴー!!
ボルト・クランク,EAT-MAN
ヒルシャー,ガンスリンガーガール（第1期）
マイト・ガイ,NARUTO
ガオン,かいけつゾロリ
アラストール,灼眼のシャナ
鋼夜,結界師
キャプテンブラボー,武装錬金
霧の中のジョニー,墓場鬼太郎
豊臣秀吉,へうげもの
呉学人,ジャイアントロボ THE ANIMATION -地球が静止する日
ラティオス,劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス
徳岡純一郎,.hack//Liminality
シャンバル・ラマー,マギ
雷ぞう,ONEPIECE
ドリアン王女（右）,それいけ!アンパンマン
砂の魔王（右）,それいけ!アンパンマン
うなどんまん,それいけ!アンパンマン
ポプ子,ポプテピピック（第1話Aパート）
