朱宮正樹,ささめきこと
西園寺つばき,アイカツ!
臼田スミレ,Tokyo7thシスターズ
若狭麗緒,ハイスクール・フリート
マイマイ,迷家-マヨイガ-
麻黄アキラ,スカーレッドライダーゼクス(TVアニメ版)
