ガーネット,祝福のカンパネラ
星井美希,アイドルマスター
綾崎レミ,堀さんと宮村くん
ミリィ,ペーパーマン
サファイア・ロードナイト,魔界戦記ディスガイア3
アサギ,魔界戦記ディスガイア4
キサラギ/如月恭華,クリミナルガールズ
初代コンパ,神次元ゲイムネプテューヌV
成田瑠宇,フォトカノ
小明,ファンタジスタドール
野々原のの,オレ様キングダム
マリー,グランブルーファンタジー
葦原怜那,ロウきゅーぶ!
