新田瞬,キャプテン翼(1985年版)
シャパン,新ビックリマン
風見ハヤト,新世紀GPXサイバーフォーミュラ
不破雷蔵,忍たま乱太郎
白戸秀一,地獄先生ぬ～べ～
藤山起目粒,すごいよ!!マサルさん
秋山遼,デジモンテイマーズ
ソニック・ザ・ヘッジホッグ,ソニックX
ハーリー,ポケットモンスター アドバンスジェネレーション
ピヨ彦,ピューと吹く!ジャガー(OVA)
カメレオンイマジン,仮面ライダー電王
ザズ・トルク,魔法騎士レイアース
トン,おたすけマニー
ブハラ,HUNTER×HUNTER(2011年版)
雛咲真冬,零～zero～
勇者レイ,CDシアター ドラゴンクエストIV
"",""
"",""
