ニック,ジュエルペットシリーズ
有賀誠,放浪息子
奥平風也,遊戯王ZEXAL
神扇アスカ,クロスファイトビーダマン
白鳥シュン,バクマン。
谷田部浩二,デュラララ!!(ゲーム)
春日太陽,ときめきメモリアル Girl's Side 3rd Story
猿江三月（サリエル）,はたらく魔王さま!
宇佐和成,僕らはみんな河合荘
桧山一翔,12歳。
金剛寺ハヤト,ガイストクラッシャー
アカツキ・ヒカル,ディスク・ウォーズ:アベンジャーズ
ワン(弟),ドラッグオンドラグーン3(画像右)
蛍丸,刀剣乱舞
湊奏多,アイ★チュウ
加藤,田中くんはいつもけだるげ
楊敬華,Spiritpact
ディーア,ファイアーエムブレムif
