アスカ,魔法騎士レイアース
チクリ,魔法陣グルグル
猫娘,ゲゲゲの鬼太郎(第4シリーズ)
コルネット（コル・ネッド）,ハーメルンのバイオリン弾き
佐上ジュン,爆走兄弟レッツ&ゴー!!
巽もえぎ,金田一少年の事件簿
北浦和うずら,アキハバラ電脳組
坂ノ上おじゃる丸(2代目),おじゃる丸
チビスケ,ドラゴンドライブ
ミア・ギエム,カレイドスター
ココ,金色のガッシュベル!!
不亞幽,デュエル・マスターズ チャージ
アリア社長,ARIA
神奈備命,AIR
青木れいか/キュアビューティ,スマイルプリキュア
ダークドリーム,Yes！プリキュア5 鏡の国のミラクル大冒険!
キキ・ロジータ,機動戦士ガンダム第08MS小隊
ビューティ田村,ピューと吹く!ジャガー
ヘキサ,悠久幻想曲
森精華,ガンパレード・マーチ
白鳥なぎさ,超くせになりそう
みさき,トゥルーラブストーリー
キャロル・パレッキー,みつめてナイト
女守衛,この世の果てで恋を唄う少女YU-NO
チェイン・ガン,神機世界エヴォリューション
ゆき,ゲゲゲの鬼太郎6期
"",""
