袁術/美羽,真・恋姫†無双
天海春香,アイドルマスター
ハム蔵,アイドルマスター
中津川初,星空へ架かる橋
住吉千里,恋と選挙とチョコレート
テリシア,ペーパーマン
ベルギー,Axis Powers ヘタリア
不動権三郎,カイチュー!
釜石まな,鉄道むすめ
エルル,ルミナスアーク3
北田舞那,AKIBA'STRIP
ドゥニヤ・ムスタシム,マギ
桐生美影,宇宙戦艦ヤマト2199
ノエル・マーレス・アスコット,ワルキューレロマンツェ
モニカ・メイシー,ダンジョントラベラーズ2
茶髪,ベン・トー
黒田那佳,ノーブルウィッチーズ 第506統合戦闘航空団
風郎太,コンクリート・レボルティオ～超人幻想～
玲,霊剣山
ミレイ,Caligula
クインシー,戦艦少女R
ヴィクトリアス,アズールレーン
ポプ子,ポプテピピック ※第9話Aパート
石山御坊,御城プロジェクト
小倉朝日(大蔵遊星),月に寄りそう乙女の作法～ひだまりの日々～
リシア・ド・ノーヴァス・ユーリィ,穢翼のユースティアAngel's blessing
