小宮山愛理,エルフを狩るモノたち
ご主人ちゃま,おるちゅばんエビちゅ
春日まなみ,きまぐれオレンジ☆ロード
ファンタスティックバタフライ,キューティーハニーF＊1
エルフリーデ・フォン・コールラウシュ,銀河英雄伝説
ビビンバ,キン肉マン キン肉星王位争奪編
まつざか梅,クレヨンしんちゃん
小笠原エミ,GS美神
エル・フィノ,聖戦士ダンバイン
ジャンヌ・フランセーズ,超時空騎団サザンクロス
一条みずき,ハイスクールミステリー学園七不思議
ドリス,吸血鬼ハンターD
火野レイ/セーラーマーズ,美少女戦士セーラームーン(旧シリーズ)
ヴィーナス白雪,ビックリマン
ロベルタ,BLACK LAGOON
C子(寿詩子),プロジェクトA子
黒羽千影,まじっく快斗＊2
レイリア,ロードス島戦記-英雄騎士伝-
