姫里マリア,アイカツ!
ヘレン,デュエル・マスターズVS
フレフレ・ピッピー,デュエル・マスターズVS
不知火ハヅキ,スクールガールストライカーズ
アーモンドピーク,魔法使いと黒猫のウィズ、白猫プロジェクト
甜瓜,鬼灯の冷徹
紅霞,BEATLESS
海老原なこ,アイカツフレンズ!
