ファルセット,スイートプリキュア♪
オーバ,ポケットモンスター ダイヤモンド&パール
ギド,HUNTER×HUNTER※2011年版(イラスト右)
西田優征,ちはやふる
スケアクロウ,ヨルムンガンド
石田ナオキ,カードファイト!!ヴァンガード
ヌケサク,ジョジョの奇妙な冒険/スターダストクルセイダース
砂藤力道,僕のヒーローアカデミア
スナイプ,僕のヒーローアカデミア
野鉄,つくもがみ貸します
キャビア,ゾイドワイルド
