服部ユウ,アイカツ!-アイドルカツドウ!-
デコラシオン,ファンタジスタドール
夜ノ森小紅,未確認で進行形
イナバくん,ガッ活!
櫻井桃華,アイドルマスターシンデレラガールズ
メリル,ケイオスドラゴン 赤竜戦役
シホル,灰と幻想のグリムガル
ジョーゼット・ルマール,ブレイブウィッチーズ
カバ,けものフレンズ
アードウルフ,けものフレンズ
結城友奈,勇者であるシリーズ
サラ,ガンダムビルドダイバーズ
御船千早※,ペルソナ5
"",""
"",""
