ニケ,魔法陣グルグル(1994年版＆映画版)
大鳥疾風,超者ライディーン
戸坂玉悟,爆球連発!!スーパービーダマン
森野かぶと,ゴーゴー五つ子ら・ん・ど
トッコリ,星のカービィ
浦部リカ,イナズマイレブン
ガゼル,イナズマイレブン
ヒューポー,風のクロノア
ジャスティン,グランディア
翔,クロックタワーGH
カノン,サモンナイト
カケル,サルゲッチュ(ゲーム)
ナランチャ・ギルガ,ジョジョの奇妙な冒険(ゲーム)
リンク,ゼルダの伝説 時のオカリナ、ムジュラの仮面
タキ,ソウルキャリバーシリーズ
バッドばつ丸,サンリオ
チェリー,ルロロマニック
寿聖子郎,ラブ★コン
たろすけ,namco×CAPCOM
根室君之,イナズマイレブン
"",""
