星馬豪,爆走兄弟レッツ&ゴー!!
大神マリナ,爆走兄弟レッツ&ゴー!!MAX
春名ヒロ子,とっとこハム太郎
トラハムちゃん,とっとこハム太郎
リィエン,金色のガッシュベル!!
西澤桃華,ケロロ軍曹
ポルン,ふたりはプリキュア
島津由乃,マリア様がみてる
十字架天使,祝（ハピ☆ラキ）ビックリマン
アマビエ,ゲゲゲの鬼太郎(第5期)
飛鷹葵,獣装機攻ダンクーガノヴァ
ケイミー,ONEPIECE
梓夜凪砂,CLAMP学園探偵団
まん丸,忍ペンまん丸
花小町クリスティーヌ,だぁ!だぁ!だぁ!
プロイスト,ガイキング LEGEND OF DAIKU-MARYU
城琉菜,超重神グラヴィオン
お庸,モノノ怪
佐代野弥生,クビキリサイクル
ゆかりん※メイン画像左の人物。,あたしンちシリーズ
ミーガン,時空冒険記ゼントリックス
七海静,べるぜバブ
芦川ゆかり,アリスSOS
ブロワイエ,ウマ娘プリティーダービー
