磯貝悠馬,暗殺教室(ジャンプスーパーアニメツアー2013)
中島敦,文豪ストレイドッグス
五十嵐望,アイカツスターズ!
増長和南,B-PROJECT
ジューゴ,ナンバカ
マギー,ACCA13区監察課
天喰環,僕のヒーローアカデミア
ヒロ,ダーリン・イン・ザ・フランキス
リオン・ステファノティス(左側),ヴァイオレット・エヴァーガーデン
ユーリィ,天狼_Sirius_the_Jaeger
シンキ,BORUTO
鳴宮湊,ツルネ-風舞高校弓道部-
