ディアネイラ,ヒロイック・エイジ
ターニャ,流星の双子
ミカサ・アッカーマン,進撃の巨人
コウサカ・チナ,ガンダムビルドファイターズ
レイナ,ポケットモンスター THE ORIGIN
新条ひなき,アイカツ!-アイドルカツドウ!-
零羅,遊戯王ARC-V
オルガ,遊戯王ARC-V
ユティカ,隠された空中都市
水鏡美三香,蒼穹のファフナーEXODUS
雪見時雨,終わりのセラフ
宇多良カナリア,クオリディア・コード
佐原みよこ,聲の形
片倉京,ガーリッシュナンバー
高砂智恵,エロマンガ先生
ウェンディ=ナーブレス,ロクでなし魔術講師と禁忌教典
ヴァイオレット・エヴァーガーデン,ヴァイオレット・エヴァーガーデン
岸波白野,Fate/EXTRA_Last_Encore
平つかさ,デビルズライン
海老名悠,はねバド!
キュルル,けものフレンズ2
