花咲ももこ/ウェディングピーチ,愛天使伝説ウェディングピーチ
クリーム,十二戦支爆烈エトレンジャー
カカオ,VS騎士ラムネ&40炎
エリカ,ポケットモンスター
うさだヒカル/ラ・ビ・アン・ローズ,デジキャラット
姫川琴音,ToHeart
高村椿,サクラ大戦
ヘビのユキ,天使のしっぽ
眞深,シスタープリンセス
リサ・パツィフィースト,FF:U
古関里美,ガンパレード・オーケストラ
ハープ,流星のロックマン
高見沢舞子,東京魔人學園
縹瑠花,彩雲国物語
桃園あゆみ,フレッシュプリキュア
黄瀬ちはる,スマイルプリキュア
フィーナ,Ys
高嶺響,月華の剣士
ウェンディ,サイキックフォース2012
レラ,サムライスピリッツ
山岸マユミ,新世紀エヴァンゲリオン 2nd Impression
ニーナ,ブレスオブファイアシリーズ
シーラ・シェフィールド,悠久幻想曲
ルーナ・ノア,LUNAR シルバースターストーリー
亜弥乎,銀河お嬢様伝説ユナシリーズ
間宮リナ※,ひぐらしのなく頃に
彩火乃紀,ベターマン
須藤,あたしンちシリーズ ※メイン画像真ん中の女子。
