美坂栞(2代目),kanon
冬海笙子,金色のコルダ
タバサ,ルーンファクトリーフロンティア
支倉仁亜,金色のコルダ3
ナギ少尉,ウォーシップガンナー2 鋼鉄の咆哮
深雪マユノ,まもるクンは呪われてしまった!
ロザリィ,ユグドラ・ユニオン
オリビア,オリビア
那木,討鬼伝
女天狗,デッドオアアライブ
ナルル,オトカドール
鈴井志帆,ペルソナ5
