麻布涼子（画像上）,ジュエルペット(無印)
尾藤望,地獄少女 三鼎
コーデリア・グラウカ,探偵オペラミルキィホームズ
戸倉ミサキ,カードファイト!!ヴァンガード
店長代理,カードファイト!!ヴァンガード
黒木智子,私がモテないのはどう考えてもお前らが悪い!
ミチ,ヴァイス・サヴァイヴ
ファントム・クイーン,シャイニング・ハーツ
リリス,ベルアイル
ケルベロス（右側）,シャイニング・ブレイド
ルル・ルージュ,桃色大戦ぱいろん
ナタリー,おねがい♪マイメロディ きららっ★
弁丸,BRAVE10
虎堂ノボル,フューチャーカード バディファイト
沼田マナブ,超爆裂異次元メンコバトル ギガントシューター つかさ
西川のり子,毎度!浦安鉄筋家族
大沢木桜,毎度!浦安鉄筋家族
ペインホイール,スカルガールズ
