ルシファー,うみねこのなく頃に
紅葉知弦（第一期）,生徒会の一存
武藤葵,屍鬼
ゼネット・シローネ,爆丸シリーズ
清秋院恵那,カンピオーネ!
霙,BabyPrincess
桜庭玉藻,大図書館の羊飼い(TVアニメ)
田中舞,咲-Saki-※
"",""
