ケルベロくん,地獄ようちえん
藜チャチャ,マケン姫っ!
日向太陽,黒魔女さんが通る!!
いちよん,うぽって!!
五河士織,デート・ア・ライブ
チャイカ・ボフダーン,棺姫のチャイカ
ギィ（二代目）<奥の丸っこい赤いやつ>,BLAZBLUE
