鮫島牙舞,韋駄天翔
鋼銀河,メタルファイトベイブレード
ちびたりあ,ヘタリア
ちびロマーノ,ヘタリア
カーリー渚（2代目）,遊戯王5D's
表裏徳之助,遊戯王ZEXAL
フローラ,ジュエルペット
トパーズ,ジュエルペット
クリス,ジュエルペット
清水良樹,レベルE
ディルカ,牧場物語 ようこそ!風のバザールへ
コニー,LINETOWN
ジュン,魔法つかいプリキュア!
織田信也,ペルソナ5
三田希少,ときめきアイドル
