中富七香,魔法使いTai!
フルート,ハーメルンのバイオリン弾き
カスミ,ポケットモンスター
エリカ・チネン,VIRUS -VIRUS BUSTER SERGE-
鏡野鏡子,HAUNTEDじゃんくしょん
神代佐久耶,新・天地無用!
速水玲香,金田一少年の事件簿
まや,ジオブリダーズ
クリーオウ・エバーラスティン,魔術士オーフェン
ミルル,天使になるもんっ!
ソラ,エスカフローネ
佐賀沙織,逮捕しちゃうぞ SECOND SEASON
クク,ドラえもん のび太の太陽王伝説 ※イラスト右
レナ・ランフォード,スターオーシャンEX
レイヨン,東京アンダーグラウンド
ステア,王ドロボウJING
ライネ,円盤皇女ワるきゅーレ
スージィ,アソボット戦記五九
小田島友華,ふたりはプリキュア
御咲君,屍姫 赫
ハリ坊,ドラえもん のび太の人魚大海戦 ※イラスト上
ミユキ,フレッシュプリキュア
キュアエンプレス,ドキドキ!プリキュア
ミルク,タイガーマスクW
