ラクス・ウェルト,終わりのセラフ
西園寺レオ,KING OF PRISMシリーズ
筒井あかね(男の娘時代),はんだくん
苑原明良,ナナマルサンバツ
こんのすけ,活撃/刀剣乱舞
口田甲司,僕のヒーローアカデミア
