アナベベ,ジャングルの王者ターちゃん♡
シルバ=ゾルディック,HUNTER×HUNTER(1999年版)
木村先生,あずまんが大王
ドルドーニ・アレッサンドロ・デル・ソカッチオ,BLEACH
ムジョー,ボンバーマンジェッターズ
原田ウマ子※女子,PAPUWA
ダンディ,レジェンズ
法玄,銀牙伝説WEED
木下鉄丸(2代目)※1,忍たま乱太郎
ガーターベルト,パンティ&ストッキングwithガーターベルト
石原,RAINBOW-二舎六房の七人-
茂松,トリコ
フィッシャー・タイガー,ONEPIECE
サカマキ・トグロウ,イナズマイレブンGOクロノ・ストーン
大河幸太郎,勇者王ガオガイガー
心臓原種,勇者王ガオガイガー
神楽惇,銀魂
ランプの巨人(2代目)※2,それいけ!アンパンマン
