磯野カツオ(3代目),サザエさん
伊佐坂ウキエ(2代目),サザエさん※1
クレア・バーブランド,銀河漂流バイファム
速水ペルシャ,魔法の妖精ペルシャ
リン,北斗の拳2
泉野明,機動警察パトレイバー
ニンニ,楽しいムーミン一家
マァム,DRAGON QUEST -ダイの大冒険-
どろしー,赤ずきんチャチャ
ロールパンナ,それいけ!アンパンマン
ドキンちゃん(2代目)※2,それいけ!アンパンマン
細川美樹,地獄先生ぬ～べ～
明神弥彦,るろうに剣心
星天使タケル,ビックリマン2000
草摩利津,フルーツバスケット
フォー,D.Gray-man
マジョリーナ,スマイルプリキュア
センリツ,HUNTER×HUNTER(2011年版)
アンヘル,KOF2001
ディアーネ,モンスターメーカー
七尾こずえ,めぞん一刻
新田由加,タッチ
堀川椎子,究極超人あ～る
村下智美,メガゾーン23
ミミィちゃん,ハローキティ
ラステル,風の谷のナウシカ
須和野チビ猫,綿の国星
葵かりん,D・N・A2 ～何処かで失くしたあいつのアイツ～＠
"",""
